"","Идентификатор","Комнатность","Новостройка","Метро.Район","Время.до.метро","Улица","Дом","Этаж","Площадь.общая","Площадь.жилая","Площадь.кухни","Цена.в.руб.","Цена.в.долл.","Цена.в.евро","Источник.получения","Дата.объявления","Контакты","На.сайте","Описание"
"239",23534501,"04.апр","Нет","Чистые пруды","10п","Лялин пер","9","02.май",112,"75",7.5,29400000,858143,633689,"ИНКОМ-Недвижимость","26.10.2013 12:21","Тел.: +7(495)363-46-00, mailto:mkv_nch@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0246557&ir=bazaincom","Квартира 4-комн., общ.пл.-112.00, жил.пл.-75.00, кухня-7.50, метро или район:Чистые пруды, 10 мин. п, адрес:Москва, Лялин пер, 9/3, этаж/этажность -2/5, санузел-совм., Лот: вт-0246557, шикарная кв. в центре Москвы, 3х метровые потолки с лепниной, сделан евроремонт, комн. изолированы, подъезд отремонтирован, тихий двор, дом расположен в 10 мин. ходьбы от двух станций метро: Курская и Чистые пруды, Цена:29.4 млн. руб.|858.143 тыс.$|633.689 тыс. евро"
"240",24043529,"3","Нет","Третьяковская",NA,"Ордынка Б.","17","05.июн",83,"54,6",8.5,29450000,837123,618167,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-775-3001, 8-495-983-0260, http://www.greatr.ru","","#9860 Квартира 3-комн., общ.пл.-83, жил.пл.-54.6, кухня-8.5, метро или район:Третьяковская, адрес:Москва, Ордынка Б., 17/1, этаж/этажность -5/6, потолки 3.5 м. Качественный ремонт. Бытовая техника. Окна во двор. Видеонаблюдение., Цена:29.45 млн. руб."
"241",21459382,"07.июл","Нет","Тверская","3п","Страстной б-р","04.мар","03.май",140,"93,6",20,29500000,861062,635845,"ИНКОМ-Недвижимость","03.04.2013 12:35","Тел.: +7(495)363-04-04, mailto:mk-kn@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0229321&ir=bazaincom","Квартира 7-комн., общ.пл.-140.00, жил.пл.-93.60, кухня-20.00, метро или район:Тверская, 3 мин. п, адрес:Москва, Страстной б-р, 4/3/5, этаж/этажность -3/5, телефон-ЕСТЬ, санузел-разд., Лот: вт-0229321, исторический центр Москвы, альтернатива, Цена:29.5 млн. руб.|861.062 тыс.$|635.845 тыс. евро"
"242",24043746,"2","Нет","Смоленская","5п","Арбат","30","03.май",74,"34",12,29500000,838544,619217,"Н&Ц","31.01.2014 4:35","Тел.: 8-909-937-6462, 8-964-630-1617","","Квартира 2-комн., общ.пл.-74, жил.пл.-34, кухня-12, метро или район:Смоленская, 5 мин. пеш., адрес:Москва, Арбат, 30/1, этаж/этажность -3/5, Шикарная ""распашонка"" h=3.3м. Балк, тел. Лифт, паркет, ЖБП, прихожая-гостиная 16 кв. м., Цена:29.5 млн. руб.Альтернатива."
"243",24042872,"4","Нет","Трубная","2п","Рождественский б-р","05.июл","02.авг",100,"74,2",10.4,29500000,838544,619217,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-363-48-18, http://www.incom.ru","","Квартира 4-комн., общ.пл.-100, жил.пл.-74.2, кухня-10.4, метро или район:Трубная, 2 мин. пеш., адрес:Москва, Рождественский б-р, 5/7, этаж/этажность -2/8, Сталинский дом, вид на историческую Москву, храм, быстрый выход на сделку, свободная продажа., свободна, Цена:29.5 млн. руб."
"244",24043639,"2","Нет","Маяковская",NA,"2-я Тверская-Ямская ул.","54","07.сен",70,"37",12,29900000,849914,627613,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-775-3001, 8-495-983-0260, http://www.greatr.ru","","#9860 Квартира 2-комн., общ.пл.-70, жил.пл.-37, кухня-12, метро или район:Маяковская, адрес:Москва, 2-я Тверская-Ямская ул., 54, этаж/этажность -7/9, большой холл, меблирована, кухня оборудована бытовой техникой. Большая лоджия. Дом категории ЦК., Цена:29.9 млн. руб."
"245",23707627,"02.фев","Нет","Китай-город",NA,"Котельническая наб.","янв.15","май.32",66,"",10,29900000,849914,627613,"Усадьба (Миэль)","15.11.2013 5:20","Тел.: (495) 777-07-70, http://usadba.ru, mailto:ufimtsev@usadba.ru","http://usadba.ru/city_sale/apartment/taganskaya/6436.html","Квартира 2-комн., общ.пл.-66, жил.пл.-?, кухня-10, метро или район:Китай-город, адрес:Москва, Котельническая наб., 1/15, этаж/этажность -5/32, балкон:Б, санузел-разд., Прекрасная 2-комнатная квартира 66 кв.м с ремонтом в легендарной Высотке в Котельниках, центральная секция, вид во двор. Инфраструктура: детская площадка, рестораны, кинотеатр Иллюзион, спа-салон, спортплощадка, Цена:29.9 млн. руб."
"246",23414788,"03.мар","Нет","Боровицкая","7п","Серафимовича","2","06.дек",75.1,"46,6",9,29930000,873467,645005,"ИНКОМ-Недвижимость","15.10.2013 13:20","Тел.: +7(495)363-55-59, mailto:rent_sr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0229277&ir=bazaincom","Квартира 3-комн., общ.пл.-75.10, жил.пл.-46.60, кухня-9.00, метро или район:Боровицкая, 7 мин. п, адрес:Москва, Серафимовича, 2, этаж/этажность -6/12, балкон:Б, телефон-ЕСТЬ, санузел-совм., Лот: вт-0229277, свободная продажа, знаменитый дом на набережной, в квартире дизайнерский ремонт с использованием дорогих материалов, стеклопакеты, квартира полностью оборудованна техникой и обставлена современной мебелью, две комнаты изолированные 13,8 и 16,8 м, гостиная 25 м, кухня 9 м, санузел совмещен ..."
"247",24042627,"2","Нет","Чистые пруды",NA,"Милютинский","11","02.май",70,"",NA,3e+07,852757,629712,"Н&Ц","31.01.2014 4:35","Тел.: 8-926-118-5888, 8-495-517-6556, http://www.slk-realty.ru","","Квартира 2-комн., общ.пл.-70, жил.пл.-?, кухня-?, метро или район:Чистые пруды, адрес:Москва, Милютинский, 11, этаж/этажность -2/5, отреставр. особняк в центре Москвы, хор. ремонт, кухня-гостиная, спальня, гардеробная, 1 с/у., Цена:30 млн. руб."
"248",22103511,"02.фев","Нет","Чистые пруды","7п","Милютинский пер.","11","02.июн",70,"49,7",14,3e+07,852757,629712,"ООО ""ЛюксДом""","30.05.2013 19:05","Тел.: 231-4400, http://www.luxdom.ru, mailto:info@luxdom.ru","http://www.luxdom.ru/object.php?objectID=EL1236&sa=buy","Квартира 2-комн., общ.пл.-70, жил.пл.-49.7, кухня-14, метро или район:Чистые пруды, 7 мин. п, адрес:Москва, Милютинский пер., 11, этаж/этажность -2/6, Реконструированный дом дореволюционной постройки. Квартира с новым ремонтом, никто не жил, новая мебель, бойлер, кондиционеры. Потолки 3,2 м. Солнечная сторона. Есть стиральная и посудомоечная машины. Полностью готова к проживанию. Собственность. Никто не прописан. Дом не огорожен, но имеет внутренний двор для наземной парковки, шлагбаум. Благ ..."
"249",22705875,"4","Нет","Смоленская","7п","Новинский Бульв.","18","08.авг",118,"75",10,3e+07,852757,629712,"Eurodoma","01.08.2013 8:05","Тел.: (495)777-3017,(901)510-4514, http://www.arendamsk.ru, mailto:7773017@mail.ru","","Квартира 4-комн., общ.пл.-118, жил.пл.-75, кухня-10, метро или район:Смоленская, 7 мин. п, адрес:Москва, Новинский Бульв., 18, этаж/этажность -8/8, 4 к кв, Новинский б-р, 18. 8/8 эт кирпич дома, общ 118, жилая 75, кухня 10. Дом СОВМИНА, вид на американское посольство и двор, кв-ра удобна под перепланировку, несущих стен нет, ж/б перекрытия, потолки 3,2. Большой зеленый двор с дет площадкой. Солидные соседи, чистый подъезд, тамбур на две кв-ры. Два собственника, легкая альтернатива., Цена:30  ..."
"250",23808579,"03.мар","Нет","Охотный Ряд","5п","Вознесенский пер","16.апр","03.май",70,"43",7.4,3e+07,875656,646622,"ИНКОМ-Недвижимость","07.12.2013 12:20","Тел.: +7(495)363-02-20, mailto:mk_ba@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0234630&ir=bazaincom","Квартира 3-комн., общ.пл.-70.00, жил.пл.-43.00, кухня-7.40, метро или район:Охотный Ряд, 5 мин. п, адрес:Москва, Вознесенский пер, 16/4, этаж/этажность -3/5, санузел-разд., Лот: вт-0234630, Исторический центр Москвы, дореволюционный особняк. Капитальный ремонт 1978 г., ж/б перекрытия, шаговая доступность от м. Охотный ряд, м. Пушкинская, м. Тверская. Содействие в получении специальных условий и преференций по ипотеке., Цена:30 млн. руб.|875.656 тыс.$|646.622 тыс. евро"
"251",23994377,"2","Да","Новокузнецкая","10п","Садовническая наб.","53","03.май",67,"0",NA,30330000,862137,636639,"CENTURY 21","22.01.2014 6:20","Тел.: +7(916)044-88-09, http://http://elvert.c21russia.com/, mailto:ekaterina.sapozhnikova@c21russia.com","","Квартира 2-комн., общ.пл.-67.00, жил.пл.-0.00, кухня-?, метро или район:Новокузнецкая, 10 мин. п, адрес:Москва, Садовническая наб., 53, этаж/этажность -3/5, новостройка, Предлагаются квартиры свободной планировки в новом жилом комплексе Wine House в районе Замоскворечье. Комплекс состоит из двух очередей строительства. Первая очередь - объект реконструкции здания, построенного в конце 19 века и имеющее историческую ценность, в котором предполагается размещение 39-ти Loft-апартаментов. В ходе ..."
"252",24043104,"2","Нет","Пушкинская",NA,"ул. Спиридоновка д.26","","04.июн",61,"37",9,30500000,866969,640207,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-775-3001, 8-495-983-0260, http://www.greatr.ru","","#9860 Квартира 2-комн., общ.пл.-61, жил.пл.-37, кухня-9, метро или район:Пушкинская, адрес:Москва,  ул. Спиридоновка д.26, , этаж/этажность -4/6, Потолки 3.0 м. Окна на две стороны. Благоустроенный закрытый двор. ЖБП., Цена:30.5 млн. руб."
"253",24042931,"5","Нет","Смоленская","5п","Новый Арбат","31","03.дек",101,"72",10,3.1e+07,881182,650702,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-782-5101, http://www.dobriy-dom.ru, mailto:info@dobriy-dom.ru","","Квартира 5-комн., общ.пл.-101, жил.пл.-72, кухня-10, метро или район:Смоленская, 5 мин. пеш., адрес:Москва, Новый Арбат, 31, этаж/этажность -3/12, два балкона, виды на набережную, h - 3, 3 м, домофон, огороженный двор, парковка, свободна, Цена:31 млн. руб."
"254",22387932,"03.мар","Нет","Смоленская","5п","Новый Арбат","31.дек","07.дек",68,"50",10,3.1e+07,904845,668176,"ИНКОМ-Недвижимость","03.07.2013 12:22","Тел.: +7(495)363-08-50, mailto:mk_ar@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0238153&ir=bazaincom","Квартира 3-комн., общ.пл.-68.00, жил.пл.-50.00, кухня-10.00, метро или район:Смоленская, 5 мин. п, адрес:Москва, Новый Арбат, 31/12, этаж/этажность -7/12, балкон:Б, телефон-ЕСТЬ, санузел-совм., Лот: вт-0238153, элитный фасадный дом, высокий этаж, из окон открывается прекрасный вид на Белый дом, гостиницу Украина, набережную Москва-реки, Москва-Сити, эксклюзивный евроремонт, наборный дубовый паркет, итальянская сантехника, кухня-столовая, большой холл, отделка деревом, закрытая территория, пр ..."
"255",24000275,"2","Нет","Трубная","10п","Петровка","19","03.апр",91,"70",15,3.1e+07,881182,650702,"CENTURY 21","22.01.2014 6:20","Тел.: +7(926)711-60-67, http://http://zapad.c21russia.com/, mailto:e.dorohova@c21russia.com","","Квартира 2-комн., общ.пл.-91.00, жил.пл.-70.00, кухня-15, метро или район:Трубная, 10 мин. п, адрес:Москва, Петровка, 19/5, этаж/этажность -3/4, Дом дореволюционной постройки на 16 квартир. Престижное месторасположение. Самое сердце настоящей Москвы. До Столешникова переулка 300м. Два машиноместа закреплены за квартирой. 1 собственник. В квартире никто не прописан и не проживает. Красивый ремонт в классическом английском стиле. Кухня-гостинная. Газовая колонка. Потолки 3,46 м. Перекрытия ж/б ..."
"256",24043020,"3","Нет","Кропоткинская","5п","Левшинский М.","14","02.май",79,"55",7,3.1e+07,881182,650702,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-782-5101, http://www.dobriy-dom.ru, mailto:info@dobriy-dom.ru","","Квартира 3-комн., общ.пл.-79, жил.пл.-55, кухня-7, метро или район:Кропоткинская, 5 мин. пеш., адрес:Москва, Левшинский М., 14, этаж/этажность -2/5, лифт, балкон, раздельный санузел, h 3 м, чистый подъезд, огороженная территория, детская площадка, Цена:31 млн. руб."
"257",24043628,"3","Нет","Маяковская",NA,"Большая Грузинская ул., д. 39","","07.дек",105,"52",17,3.1e+07,881182,650702,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-775-3001, 8-495-983-0260, http://www.greatr.ru","","#9860 Квартира 3-комн., общ.пл.-105, жил.пл.-52, кухня-17, метро или район:Маяковская, адрес:Москва, Большая Грузинская ул., д. 39, , этаж/этажность -7/12, Потолки 3 м. Два с/у. Гардеробная. Окна на 3 стороны. Видеонаблюдение. Перекрытия ЖБ., Цена:31 млн. руб.м категории ЦК."
"258",24042538,"1","Нет","Кропоткинская",NA,"Остоженка ул., д. 1/9","","04.май",57,"30",14,3.1e+07,881182,650702,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-775-3001, 8-495-983-0260, http://www.greatr.ru","","#9860 Квартира 1-комн., общ.пл.-57, жил.пл.-30, кухня-14, метро или район:Кропоткинская, адрес:Москва, Остоженка ул., д. 1/9, , этаж/этажность -4/5, Качественный ремонт. Меблирована. Потолки 3.8 м. Окна во двор. Балкон., Цена:31 млн. руб.Закрытый благоустрое"
"259",24043063,"3","Нет","Маяковская","5п","Садовая-Кудринская","21","07.июл",115,"80",17,3.1e+07,881182,650702,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-782-5101, http://www.dobriy-dom.ru, mailto:info@dobriy-dom.ru","","Квартира 3-комн., общ.пл.-115, жил.пл.-80, кухня-17, метро или район:Маяковская, 5 мин. пеш., адрес:Москва, Садовая-Кудринская, 21, этаж/этажность -7/7, хороший ремонт, кухня-столовая, балкон, виды на Патриаршие пруды, h - 3, 4 м, новый лифт, свободна, Цена:31 млн. руб."
"260",24042942,"2","Нет","Чистые пруды",NA,"Сретенский бульвар, д. 6","","03.июн",87,"51",11,31300000,889710,656999,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-775-3001, 8-495-983-0260, http://www.greatr.ru","","#9860 Квартира 2-комн., общ.пл.-87, жил.пл.-51, кухня-11, метро или район:Чистые пруды, адрес:Москва, Сретенский бульвар, д. 6, , этаж/этажность -3/6, Потолки 3.8 м. Большой холл. Окна выходят на две стороны. Закрытый благоустроенный двор., Цена:31.3 млн. руб.Видеонаблюдение."
"261",23819077,"02.фев","Нет","Чеховская",NA,"Петровка","19","03.июн",90,"65",20,31500000,919439,678953,"ИНКОМ-Недвижимость","12.12.2013 12:35","Тел.: +7(495)363-08-50, mailto:mk_ar@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0250373&ir=bazaincom","Квартира 2-комн., общ.пл.-90.00, жил.пл.-65.00, кухня-20.00, метро или район:Чеховская, адрес:Москва, Петровка, 19/5, этаж/этажность -3/6, балкон:Б, телефон-ЕСТЬ, санузел-совм., Лот: вт-0250373, Эксклюзивный евроремонт, потолки - 3,4м. Встроенная кухонная бытовая техника. Закрытый двор. Свободная продажа, взрослый собственник. Быстрый выход на сделку. Содействие в получении специальных условий и преференций по ипотеке., Цена:31.5 млн. руб.|919.439 тыс.$|678.953 тыс. евро"
"262",23905754,"04.апр","Нет","Тверская","5п","Бронная М.","16","02.май",93,"60",9,3.2e+07,934033,689730,"ИНКОМ-Недвижимость","25.12.2013 12:20","Тел.: +7(495)363-25-55, mailto:mk_db@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0197165&ir=bazaincom","Квартира 4-комн., общ.пл.-93.00, жил.пл.-60.00, кухня-9.00, метро или район:Тверская, 5 мин. п, адрес:Москва, Бронная М., 16, этаж/этажность -2/5, телефон-ЕСТЬ, санузел-разд., Лот: вт-0197165, просторная 4 ком. квартира в элитном районе, шаговая доступность от метро, собственность более 3 лет, чистый подъезд, закрытый двор, Цена:32 млн. руб.|934.033 тыс.$|689.73 тыс. евро"
"263",24043330,"2","Нет","Кропоткинская",NA,"Б. Афанасьевский пер., д. 5","","07.июл",77,"40,9",6,3.2e+07,909607,671693,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-775-3001, 8-495-983-0260, http://www.greatr.ru","","#9860 Квартира 2-комн., общ.пл.-77, жил.пл.-40.9, кухня-6, метро или район:Кропоткинская, адрес:Москва, Б. Афанасьевский пер., д. 5, , этаж/этажность -7/7, Дизайнерский ремонт. Большая терраса. Окна во двор. Парковка во дворе., Цена:32 млн. руб."
"264",23994379,"2","Да","Новокузнецкая","10п","Садовническая наб.","53","04.май",68,"0",NA,32007000,909806,671840,"CENTURY 21","22.01.2014 6:20","Тел.: +7(916)044-88-09, http://http://elvert.c21russia.com/, mailto:ekaterina.sapozhnikova@c21russia.com","","Квартира 2-комн., общ.пл.-68.00, жил.пл.-0.00, кухня-?, метро или район:Новокузнецкая, 10 мин. п, адрес:Москва, Садовническая наб., 53, этаж/этажность -4/5, новостройка, Предлагаются квартиры свободной планировки в новом жилом комплексе Wine House в районе Замоскворечье. Комплекс состоит из двух очередей строительства. Первая очередь - объект реконструкции здания, построенного в конце 19 века и имеющее историческую ценность, в котором предполагается размещение 39-ти Loft-апартаментов. В ходе ..."
"265",22951958,"04.апр","Нет","Чистые пруды","5п","Чаплыгина","01.дек","04.апр",103.4,"69",8.5,32500000,948628,700507,"ИНКОМ-Недвижимость","04.09.2013 14:05","Тел.: +7(495)363-46-00, mailto:mkv_nch@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0242324&ir=bazaincom","Квартира 4-комн., общ.пл.-103.40, жил.пл.-69.00, кухня-8.50, метро или район:Чистые пруды, 5 мин. п, адрес:Москва, Чаплыгина, 1/12/2, этаж/этажность -4/4, телефон-ЕСТЬ, санузел-разд., Лот: вт-0242324, комн. с хорошим ремонтом, большая коммунарка в истор. центре Москвы, окна во двор и улицу, более 3х лет в собст., 1 собст, Цена:32.5 млн. руб.|948.628 тыс.$|700.507 тыс. евро"
"266",23737745,"04.апр","Нет","Кропоткинская","5п","Курсовой пер","15","03.июн",82,"58",9,32500000,923820,682188,"Азбука Жилья","26.11.2013 5:05","Тел.: +7 (495) 739-5553, http://http://www.azbuka-vtorich.ru/78685, mailto:kuzminkivtorz@azbuka.ru","","Квартира 4-комн., общ.пл.-82, жил.пл.-58, кухня-9, метро или район:Кропоткинская, 5 мин. п, адрес:Москва, Курсовой пер, 15, этаж/этажность -3/6, балкон:Б, санузел-разд., Для желающих жить в самом роскошном и дорогом центре Москвы предлагаю уютную чистую с хорошей аурой квартиру в старинном кирпичном доме в удивительно тихом переулке Остоженки. Летом дом утопает в зелени. Прекрасное окружение: Храм Христа Спасителя, Парк культуры, Нескучный сад, музей изобразительных искусств им. Пушкина, сам ..."
"267",23210438,"03.мар","Нет","Маяковская","10п","Садовая-Кудринская","28/30","06.июл",105,"65",9,3.3e+07,963222,711284,"ИНКОМ-Недвижимость","28.09.2013 13:50","Тел.: +7(495)363-10-32, mailto:mk_vn@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0244291&ir=bazaincom","Квартира 3-комн., общ.пл.-105.00, жил.пл.-65.00, кухня-9.00, метро или район:Маяковская, 10 мин. п, адрес:Москва, Садовая-Кудринская, 28/30, этаж/этажность -6/7, балкон:БЛ, санузел-разд., Лот: вт-0244291, квартира в сталинском кирпичном доме 1947 года, ""Сталинский ампир"" архитектор Л. В. Руднев, 700 м. от м. Маяковская, пардный подъезд имеет второй выход в закрытый двор с автостоянкой и выходом к Патриаршим Прудам, дом и подъезд в отличном состоянии, в квартире большие комнаты, высота потолк ..."
"268",23731663,"03.мар","Нет","Арбатская","5п","Арбат","30.мар","02.май",85.1,"46",11.5,3.3e+07,963222,711284,"ИНКОМ-Недвижимость","22.11.2013 12:20","Тел.: +7(495)363-04-33, mailto:mk_kr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0238816&ir=bazaincom","Квартира 3-комн., общ.пл.-85.10, жил.пл.-46.00, кухня-11.50, метро или район:Арбатская, 5 мин. п, адрес:Москва, Арбат, 30/3/1, этаж/этажность -2/5, балкон:Б, телефон-ЕСТЬ, санузел-разд., Лот: вт-0238816, Эксклюзивное предложение, центр москвы, старый арбат, квартира с евроремонтом, дом после капит. ремонта, перекрытия ж/б, потолки 3,30, окна абрат двор, гардеробная, холл, уютная кухня и спальня и окна во двор, свободная продажа Содействие в получении специальных условий и преференций по ипот ..."
"269",23210442,"07.июл","Нет","Новокузнецкая","3п","Пятницкая","сен.28","03.мар",145.4,"103,1",18,3.3e+07,963222,711284,"ИНКОМ-Недвижимость","28.09.2013 14:05","Тел.: +7(495)363-25-55, mailto:mk_db@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0244322&ir=bazaincom","Квартира 7-комн., общ.пл.-145.40, жил.пл.-103.10, кухня-18.00, метро или район:Новокузнецкая, 3 мин. п, адрес:Москва, Пятницкая, 9/28/1, этаж/этажность -3/3, телефон-ЕСТЬ, санузел-разд., Лот: вт-0244322, Внимание Инвесторам! Квартира идеально подходит под хостел, очень красивый особняк, исторический центр Москвы, 5 мин до Кремля, Третьяковской галереи и до набережной, в подъезде всего две квартиры, первые два этажа нежилые, проект полностью окупается за 3-4 года., Цена:33 млн. руб.|963.222 т ..."
"270",22930454,"02.фев","Нет","Пушкинская","12п","Бронная М.","10","02.апр",94.7,"53,7",40,3.3e+07,963222,711284,"ИНКОМ-Недвижимость","31.08.2013 13:05","Тел.: +7(495)363-99-63, mailto:mk_mr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0226983&ir=bazaincom","Квартира 2-комн., общ.пл.-94.70, жил.пл.-53.70, кухня-40.00, метро или район:Пушкинская, 12 мин. п, адрес:Москва, Бронная М., 10/2, этаж/этажность -2/4, телефон-ЕСТЬ, санузел-2 с/у, Лот: вт-0226983, евроремонт, кухня-гостинная 40кв. м., удобная планировка, респектабельные соседи, сделан кап. ремонт дома, квартира в историческом центре Москвы, тихое место, рядом Патриаршие пруды Содействие в получении специальных условий и преференций по ипотеке., Цена:33 млн. руб.|963.222 тыс.$|711.284 тыс. евро"
"271",24008631,"2","Нет","Цветной бульвар","10п","Петровка","19","03.май",90,"0",NA,3.3e+07,938032,692683,"CENTURY 21","22.01.2014 6:35","Тел.: +7(915)207-21-11, http://http://zapad.c21russia.com/, mailto:s.launov@c21russia.com","","Квартира 2-комн., общ.пл.-90.00, жил.пл.-0.00, кухня-?, метро или район:Цветной бульвар, 10 мин. п, адрес:Москва, Петровка, 19/5, этаж/этажность -3/5, кирпичный дом прошлого века на 16 квартир после реконструкции отличный ремонт потолок 3,5 окна двор спальня 20м кухня гостинная 55м газовая кондиционер теплые полы колонка, Цена:33 млн. руб."
"272",24013565,"1","Нет","Чистые пруды","10п","Покровка","9","04.май",57,"0",NA,3.3e+07,938032,692683,"CENTURY 21","22.01.2014 6:35","Тел.: +7(916)345-67-09, http://http://panorama.c21russia.com/, mailto:e.usova@c21russia.com","","Квартира 1-комн., общ.пл.-57.00, жил.пл.-0.00, кухня-?, метро или район:Чистые пруды, 10 мин. п, адрес:Москва, Покровка, 9/2, этаж/этажность -4/5, Квартира под чистовую отделку в полностью реконструированном пятиэтажном элитном клубном доме. В доме всего 12 квартир. Тихий исторический центр Москвы, огороженная, охраняемая территория, сквер с зелёными насаждениями и детской площадкой. Собственная парковка на 20 машин. В доме выполнены все работы по отделке лестничных холлов: стены отделаны ве ..."
"273",23734239,"06.июн","Нет","Китай-город","7п","Ивановский М. пер","11.июн","01.мар",143.3,"99,8",12.5,3.3e+07,963222,711284,"ИНКОМ-Недвижимость","23.11.2013 12:36","Тел.: +7(495)228-07-77, mailto:mk_nsl@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0248104&ir=bazaincom","Квартира 6-комн., общ.пл.-143.30, жил.пл.-99.80, кухня-12.50, метро или район:Китай-город, 7 мин. п, адрес:Москва, Ивановский М. пер, 11/6/1, этаж/этажность -1/3, санузел-разд., Лот: вт-0248104, просторная светлая квартира, интересная планировка, окна на 2 стороны, дом - ценный градоформирующий объект, расположен в историческом и культурном центре Москвы, в 5 мин/ходьбы от Красной площади., Цена:33 млн. руб.|963.222 тыс.$|711.284 тыс. евро"
"274",22930450,"03.мар","Нет","Пушкинская","12п","Бронная М.","10","02.апр",94.7,"53,7",40,3.3e+07,963222,711284,"ИНКОМ-Недвижимость","31.08.2013 13:05","Тел.: +7(495)363-99-63, mailto:mk_mr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0226652&ir=bazaincom","Квартира 3-комн., общ.пл.-94.70, жил.пл.-53.70, кухня-40.00, метро или район:Пушкинская, 12 мин. п, адрес:Москва, Бронная М., 10/2, этаж/этажность -2/4, телефон-ЕСТЬ, санузел-2 с/у, Лот: вт-0226652, евроремонт, кухня-гостинная 40кв. м., удобная планировка, респектабельные соседи, сделан кап. ремонт дома, квартира в историческом центре Москвы, тихое место, рядом Патриаршие пруды Содействие в получении специальных условий и преференций по ипотеке., Цена:33 млн. руб.|963.222 тыс.$|711.284 тыс. евро"
"275",23734247,"03.мар","Нет","Цветной бульвар","5п","Печатников пер","3","04.июн",90,"65",12,3.3e+07,963222,711284,"ИНКОМ-Недвижимость","23.11.2013 12:36","Тел.: +7(495)363-18-18, mailto:mk_tr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0249003&ir=bazaincom","Квартира 3-комн., общ.пл.-90.00, жил.пл.-65.00, кухня-12.00, метро или район:Цветной бульвар, 5 мин. п, адрес:Москва, Печатников пер, 3/1, этаж/этажность -4/6, балкон:Б, санузел-разд., Лот: вт-0249003, Тихий исторический центр, дом бизнес-класса, входная группа-мрамор, охрана, подземный паркинг, свой двор, собственность, возможность покупки в рассрочку, агентам-бонус, 8-910-440-96-91, Цена:33 млн. руб.|963.222 тыс.$|711.284 тыс. евро"
"276",23734246,"03.мар","Нет","Трубная","5п","Печатников пер","3","04.июн",90,"65",12,3.3e+07,963222,711284,"ИНКОМ-Недвижимость","23.11.2013 12:36","Тел.: +7(495)363-18-18, mailto:mk_tr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0248992&ir=bazaincom","Квартира 3-комн., общ.пл.-90.00, жил.пл.-65.00, кухня-12.00, метро или район:Трубная, 5 мин. п, адрес:Москва, Печатников пер, 3/1, этаж/этажность -4/6, балкон:Б, санузел-разд., Лот: вт-0248992, Тихий исторический центр, дом бизнес-класса, входная группа-мрамор, охрана, подземный паркинг, свой двор, собственность, возможность покупки в рассрочку, агентам-бонус, 8-910-440-96-91, Цена:33 млн. руб.|963.222 тыс.$|711.284 тыс. евро"
"277",23485936,"06.июн","Нет","Красные Ворота","2п","Садовая-Спасская","19","06.авг",143,"89",15,33200000,969060,715595,"ИНКОМ-Недвижимость","22.10.2013 12:21","Тел.: +7(495)228-07-77, mailto:mk_nsl@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0212040&ir=bazaincom","Квартира 6-комн., общ.пл.-143.00, жил.пл.-89.00, кухня-15.00, метро или район:Красные Ворота, 2 мин. п, адрес:Москва, Садовая-Спасская, 19/1, этаж/этажность -6/8, балкон:2Б, телефон-ЕСТЬ, санузел-разд., Лот: вт-0212040, просторная коммунальная квартира в историческом здании в центре Москвы, дом 1906 г.постр., прекрасный подъезд, вход с Садово-Спасской ул., состоятельное окружение, солидные соседи, кв-ра требует ремонта, потолки 3,20 м, 5 собств-в, домофон, 2 лифта, разъезд., Цена:33.2 млн. р ..."
